_id,No OCORRENCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICIPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
17,49889617,2023-01-06T00:00:00,14:20:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,LINHARES,INTERLAGOS,AV TOME DE SOUZA,COMERCIO
18,49896227,2023-01-06T00:00:00,15:00:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,LINHARES,CENTRO,AV AUGUSTO CALMON,OUTRO LOCAL
19,49899988,2023-01-07T00:00:00,21:38:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,COLATINA,CARLOS GERMANO NAUMANN,ROD GETHER LOPES DE FARIAS,COMERCIO
20,49900264,2023-01-07T00:00:00,22:09:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,VALE ENCANTADO,RUA LUCILANDIA,COMERCIO
21,49905561,2023-01-08T00:00:00,13:23:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,GUARAPARI,CENTRO,RUA JOAQUIM DA SILVA LIMA,VIA PUBLICA
22,49911006,2023-01-09T00:00:00,02:51:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,SANTIAGO,NAO CADASTRADA,COMERCIO
23,49912742,2023-01-08T00:00:00,13:00:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,GUARAPARI,CENTRO,RUA JOAQUIM DA SILVA LIMA,COMERCIO
24,49914766,2023-01-09T00:00:00,02:04:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,CHAPADA GRANDE,RODOVIA GOVERNADOR MARIO COVAS,RODOVIA ESTADUAL
25,49914798,2023-01-09T00:00:00,03:00:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,CHAPADA GRANDE,RODOVIA GOVERNADOR MARIO COVAS,RODOVIA ESTADUAL
26,49921914,2023-01-10T00:00:00,05:35:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,ATAIDE,RUA PRRINCESA ISABEL,COMERCIO
27,49924069,2023-01-09T00:00:00,21:31:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,RESIDENCIAL VISTA DO MESTRE,AV CORSANTO,COMERCIO
28,49924810,2023-01-10T00:00:00,15:20:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,PORTO CANOA,AV BRASILIA,COMERCIO
29,49933010,2023-01-11T00:00:00,12:57:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,JARDIM MARILANDIA,NAO CADASTRADO,COMERCIO
30,49934714,2023-01-11T00:00:00,14:30:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,LINHARES,BOA VISTA,RUA HILARIO FAE,COMERCIO
31,49934863,2023-01-10T00:00:00,05:30:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,ATAIDE,Sem Informacao,COMERCIO
32,49950472,2023-01-13T00:00:00,14:07:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,LINHARES,LAGOA DO MEIO,Sem Informacao,COMERCIO
33,49955647,2023-01-14T00:00:00,01:14:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,GOVERNADOR LINDENBERG,MOACIR AVIDOS,ROD ES 245,COMERCIO
34,49957499,2023-01-12T00:00:00,13:15:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,SANTA LUCIA,AV NOSSA SENHHORA DA PENHA,COMERCIO
35,49958753,2023-01-14T00:00:00,10:50:00,CRIMES CONTRA PATRIMONIO,CRIMES CONTRA PATRIMONIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,COLATINA,CARLOS GERMANO NAUMANN,ROD GETHER LOPES DE FARIAS,COMERCIO
